Date,Hour,t_index,Weather_Indicator
2023-05-03,19,510,0.0
2023-05-03,19,511,0.0
2023-05-03,19,512,0.0
2023-05-03,19,513,0.0
2023-05-03,19,514,0.0
2023-05-03,19,515,0.0
2023-05-03,19,516,0.0
2023-05-03,19,517,0.0
2023-05-03,19,518,0.0
2023-05-03,20,519,0.0
2023-05-03,20,520,0.0
2023-05-03,20,521,0.0
2023-05-03,20,522,0.0
2023-05-03,20,523,0.0
2023-05-03,20,524,0.0
2023-05-03,20,525,0.0
2023-05-03,20,526,0.0
2023-05-03,20,527,0.0
2023-05-03,20,528,0.0
2023-05-03,20,529,0.0
2023-05-03,20,530,0.0
2023-05-03,21,531,0.0
2023-05-03,21,532,0.0
2023-05-03,21,533,0.0
2023-05-03,21,534,0.0
2023-05-03,21,535,0.0
2023-05-03,21,536,0.0
2023-05-03,21,537,0.0
2023-05-03,21,538,0.0
2023-05-03,21,539,0.0
2023-05-03,21,540,0.0
2023-05-03,21,541,0.0
2023-05-03,21,542,0.0
2023-05-03,22,543,0.0
2023-05-04,7,544,0.0
2023-05-04,7,545,0.0
2023-05-04,7,546,0.0
2023-05-04,7,547,0.0
2023-05-04,7,548,0.0
2023-05-04,7,549,0.0
2023-05-04,7,550,0.0
2023-05-04,7,551,0.0
2023-05-04,7,552,0.0
2023-05-04,7,553,0.0
2023-05-04,7,554,0.0
2023-05-04,7,555,0.0
2023-05-04,8,556,0.0
2023-05-04,8,557,0.0
2023-05-04,8,558,0.0
2023-05-04,8,559,0.0
2023-05-04,8,560,0.0
2023-05-04,8,561,0.0
2023-05-04,8,562,0.0
2023-05-04,8,563,0.0
2023-05-04,8,564,0.0
2023-05-04,8,565,0.0
2023-05-04,8,566,0.0
2023-05-04,8,567,0.0
2023-05-04,9,568,0.0
2023-05-04,9,569,0.0
2023-05-04,9,570,0.0
2023-05-04,9,571,0.0
2023-05-04,9,572,0.0
2023-05-04,9,573,0.0
2023-05-04,9,574,0.0
2023-05-04,9,575,0.0
2023-05-04,9,576,0.0
2023-05-04,9,577,0.0
2023-05-04,9,578,0.0
2023-05-04,9,579,0.0
2023-05-04,10,580,0.0
2023-05-04,10,581,0.0
2023-05-04,10,582,0.0
2023-05-04,10,583,0.0
2023-05-04,10,584,0.0
2023-05-04,10,585,0.0
2023-05-04,10,586,0.0
2023-05-04,10,587,0.0
2023-05-04,10,588,0.0
2023-05-04,10,589,0.0
2023-05-04,10,590,0.0
2023-05-04,10,591,0.0
2023-05-04,11,592,0.0
2023-05-04,11,593,0.0
2023-05-04,11,594,0.0
2023-05-04,11,595,0.0
2023-05-04,11,596,0.0
2023-05-04,11,597,0.0
2023-05-04,11,598,0.0
2023-05-04,11,599,0.0
2023-05-04,11,600,0.0
2023-05-04,11,601,0.0
2023-05-04,11,602,0.0
2023-05-04,11,603,0.0
2023-05-04,12,604,0.0
2023-05-04,12,605,0.0
2023-05-04,12,606,0.0
2023-05-04,12,607,0.0
2023-05-04,12,608,0.0
2023-05-04,12,609,0.0
2023-05-04,12,610,0.0
2023-05-04,12,611,0.0
2023-05-04,12,612,0.0
2023-05-04,12,613,0.0
2023-05-04,12,614,0.0
2023-05-04,12,615,0.0
2023-05-04,13,616,0.0
2023-05-04,13,617,0.0
2023-05-04,13,618,0.0
2023-05-04,13,619,0.0
2023-05-04,13,620,0.0
2023-05-04,13,621,0.0
2023-05-04,13,622,0.0
2023-05-04,13,623,0.0
2023-05-04,13,624,0.0
2023-05-04,13,625,0.0
2023-05-04,13,626,0.0
2023-05-04,13,627,0.0
2023-05-04,14,628,0.0
2023-05-04,14,629,0.0
2023-05-04,14,630,0.0
2023-05-04,14,631,0.0
2023-05-04,14,632,0.0
2023-05-04,14,633,0.0
2023-05-04,14,634,0.0
2023-05-04,14,635,0.0
2023-05-04,14,636,0.0
2023-05-04,14,637,0.0
2023-05-04,14,638,0.0
2023-05-04,14,639,0.0
2023-05-04,15,640,0.0
2023-05-04,15,641,0.0
2023-05-04,15,642,0.0
2023-05-04,15,643,0.0
2023-05-04,15,644,0.0
2023-05-04,15,645,0.0
2023-05-04,15,646,0.0
2023-05-04,15,647,0.0
2023-05-04,15,648,0.0
2023-05-04,15,649,0.0
2023-05-04,15,650,0.0
2023-05-04,15,651,0.0
2023-05-04,16,652,0.0
2023-05-04,16,653,0.0
2023-05-04,16,654,0.0
2023-05-04,16,655,0.0
2023-05-04,16,656,0.0
2023-05-04,16,657,0.0
2023-05-04,16,658,0.0
2023-05-04,16,659,0.0
2023-05-04,16,660,0.0
2023-05-04,16,661,0.0
2023-05-04,16,662,0.0
2023-05-04,16,663,0.0
2023-05-04,17,664,0.0
2023-05-04,17,665,0.0
2023-05-04,17,666,0.0
2023-05-04,17,667,0.0
2023-05-04,17,668,0.0
2023-05-04,17,669,0.0
2023-05-04,17,670,0.0
2023-05-04,17,671,0.0
2023-05-04,17,672,0.0
2023-05-04,17,673,0.0
2023-05-04,17,674,0.0
2023-05-04,17,675,0.0
2023-05-04,18,676,0.0
2023-05-04,18,677,0.0
2023-05-04,18,678,0.0
2023-05-04,18,679,0.0
2023-05-04,18,680,0.0
2023-05-04,18,681,0.0
2023-05-04,18,682,0.0
2023-05-04,18,683,0.0
2023-05-04,18,684,0.0
2023-05-04,18,685,0.0
2023-05-04,18,686,0.0
2023-05-04,18,687,0.0
2023-05-04,19,688,0.0
2023-05-04,19,689,0.0
2023-05-04,19,690,0.0
2023-05-04,19,691,0.0
2023-05-04,19,692,0.0
2023-05-04,19,693,0.0
2023-05-04,19,694,0.0
2023-05-04,19,695,0.0
2023-05-04,19,696,0.0
2023-05-04,19,697,0.0
2023-05-04,19,698,0.0
